iter;Cost;Best Cost;sim_time;eval_time;valid_runs;kp_pos_x;kp_pos_y;kp_pos_z;kd_pos_x;kd_pos_y;kd_pos_z;kp_or_x;kp_or_y;kp_or_z;kd_or_x;kd_or_y;kd_or_z
63;104.886;16.3319;28.3537;28.3537;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
64;100.925;16.3319;28.152;28.152;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
65;123.034;16.3319;28.6178;28.6178;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
66;123.009;16.3319;28.6687;28.6687;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
67;97.6912;16.3319;25.7173;25.7173;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
68;100.048;16.3319;26.8661;26.8661;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
69;115.795;16.3319;27.6476;27.6476;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
70;99.351;16.3319;27.2523;27.2523;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
71;110.59;16.3319;29.1157;29.1157;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
72;122.958;16.3319;29.0165;29.0165;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
73;123.034;16.3319;29.2636;29.2636;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
74;117.025;16.3319;29.7939;29.7939;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
75;100.86;16.3319;26.2522;26.2522;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
76;107.403;16.3319;28.5883;28.5883;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
77;121.601;16.3319;29.3616;29.3616;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
78;102.405;16.3319;26.2465;26.2465;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
79;100.015;16.3319;27.5522;27.5522;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
80;104.192;16.3319;26.1895;26.1895;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
81;106.255;16.3319;24.4778;24.4778;1;33.1481;198.951;196.852;79.0741;30.3086;79.6914;79.5093;1.97222;0.990741;0.173148;19.6306;15.4435
82;98.7968;16.3319;21.9848;21.9848;1;33.1481;198.951;127.593;79.0741;30.3086;64.2593;42.213;1.97222;0.990741;0.419444;15.9361;0.419444
83;107.254;16.3319;22.6352;22.6352;1;45.7407;89.8148;190.556;77.2222;46.358;63.0247;53.0093;7.86111;25.5278;1.40463;18.8917;6.33056
84;119.411;16.3319;20.6699;20.6699;1;196.852;31.0494;198.951;79.0741;30.9259;79.6914;78.5278;71.6574;78.5278;0.173148;19.6306;19.6306
85;101.937;16.3319;22.4752;22.4752;1;31.0494;198.951;146.481;77.2222;46.9753;47.5926;0.990741;27.4907;1.97222;0.173148;13.7194;0.173148
86;105.074;16.3319;23.129;23.129;1;58.3333;171.667;171.667;71.6667;45.7407;38.3333;66.75;13.75;66.75;3.375;10.025;3.375
