iter;Cost;Best Cost;sim_time;eval_time;valid_runs;kp_pos_x;kp_pos_y;kp_pos_z;kd_pos_x;kd_pos_y;kd_pos_z;kp_or_x;kp_or_y;kp_or_z;kd_or_x;kd_or_y;kd_or_z
134;100.895;7.01781;24.6262;24.6262;1;33.1481;127.593;140.185;58.7037;79.6914;76.6049;7.86111;0.990741;78.5278;19.6306;19.8769;19.8769
135;118.024;7.01781;24.6835;24.6836;1;31.0494;198.951;196.852;30.9259;78.4568;47.5926;61.8426;8.84259;78.5278;19.8769;19.8769;18.1528
136;100.164;7.01781;21.9515;21.9515;1;196.852;70.9259;33.1481;79.0741;36.4815;74.1358;57.9167;78.5278;1.97222;0.419444;1.89722;0.419444
137;110.968;7.01781;25.0623;25.0623;1;83.5185;106.605;89.8148;77.2222;30.3086;63.642;67.7315;78.5278;0.990741;0.419444;0.173148;2.38981
138;119.304;7.01781;27.094;27.094;1;33.1481;75.1235;196.852;50.0617;79.0741;57.4691;26.5093;0.990741;78.5278;19.6306;19.8769;19.8769
139;96.2142;7.01781;25.1032;25.1032;1;33.1481;108.704;184.259;32.7778;79.0741;73.5185;24.5463;0.990741;79.5093;19.8769;19.8769;6.33056
140;7.05598;7.01781;69.8923;69.8923;1;43.642;83.5185;177.963;30.9259;46.9753;30.3086;24.5463;25.5278;79.5093;19.8769;13.4731;6.82315
141;99.8921;7.01781;46.7677;46.7677;1;58.3333;115;171.667;38.3333;55;49.4444;40.25;13.75;75.5833;16.675;16.675;1.15833
142;118.726;7.01781;25.7081;25.7081;1;31.0494;140.185;77.2222;42.037;79.0741;74.1358;9.82407;0.990741;78.5278;19.8769;19.8769;19.8769
143;126.347;7.01781;23.3009;23.3009;1;190.556;58.3333;171.667;71.6667;38.3333;71.6667;13.75;75.5833;13.75;14.4583;1.15833;1.15833
144;109.854;7.01781;34.6187;34.6187;1;45.7407;165.37;33.1481;55.6173;60.5556;55;60.8611;4.91667;72.6389;18.1528;19.6306;12.9806
145;6.65793;6.65793;70.0695;70.0695;1;31.0494;87.716;198.951;46.9753;30.9259;30.3086;52.0278;78.5278;26.5093;19.6306;19.6306;19.8769
146;102.427;6.65793;24.6197;24.6197;1;33.1481;64.6296;89.8148;77.2222;79.0741;79.0741;55.9537;1.97222;78.5278;6.33056;19.6306;19.6306
147;112.666;6.65793;49.0451;49.0451;1;56.2346;119.198;140.185;36.4815;53.1481;52.5309;37.3056;26.5093;49.0833;18.3991;19.3843;19.3843
148;97.8512;6.65793;65.0322;65.0323;1;133.889;198.951;140.185;30.9259;47.5926;30.9259;54.9722;25.5278;78.5278;19.8769;13.7194;0.419444
149;108.801;6.65793;32.25;32.25;1;194.753;64.6296;198.951;38.3333;69.8148;30.3086;43.1944;78.5278;39.2685;11.5028;0.173148;0.173148
150;111.72;6.65793;21.9074;21.9074;1;190.556;58.3333;152.778;79.0741;77.2222;79.0741;66.75;1.97222;4.91667;7.06944;15.9361;18.8917
151;106.899;6.65793;23.7093;23.7094;1;89.8148;39.4444;196.852;77.2222;32.7778;79.0741;78.5278;78.5278;4.91667;0.419444;12.2417;18.8917
152;125.739;6.65793;26.8362;26.8362;1;64.6296;58.3333;198.951;71.6667;35.8642;47.5926;25.5278;78.5278;10.8056;4.60648;0.419444;6.82315
153;100.723;6.65793;24.3522;24.3522;1;33.1481;123.395;182.16;71.6667;79.6914;79.6914;18.6574;1.97222;52.0278;19.8769;19.6306;19.8769
154;126.593;6.65793;25.4687;25.4687;1;186.358;190.556;39.4444;34.6296;77.2222;32.7778;1.97222;60.8611;72.6389;11.5028;1.89722;0.419444
155;99.1299;6.65793;24.7088;24.7088;1;100.309;175.864;108.704;62.4074;74.1358;62.4074;41.2315;1.97222;54.9722;5.09907;19.8769;19.6306
156;102.421;6.65793;36.3413;36.3414;1;96.1111;171.667;112.901;38.9506;55;38.3333;40.25;26.5093;1.97222;13.7194;2.63611;0.419444
157;100.487;6.65793;22.2494;22.2494;1;196.852;58.3333;39.4444;77.2222;77.2222;69.8148;16.6944;7.86111;16.6944;7.06944;0.419444;9.28611
158;112.396;6.65793;24.7544;24.7544;1;198.951;188.457;33.1481;62.4074;79.0741;35.2469;19.6389;0.990741;71.6574;17.9065;0.665741;6.33056
159;6.72728;6.65793;65.3413;65.3414;1;33.1481;140.185;196.852;30.9259;30.9259;30.9259;10.8056;25.5278;78.5278;19.6306;7.80833;14.4583
160;124.543;6.65793;26.2836;26.2837;1;31.0494;87.716;198.951;74.7531;66.1111;75.3704;78.5278;19.6389;60.8611;19.8769;19.6306;19.6306
161;108.95;6.65793;26.0926;26.0926;1;39.4444;190.556;58.3333;32.7778;71.6667;32.7778;31.4167;31.4167;75.5833;18.8917;18.8917;7.80833
162;108.999;6.65793;23.8522;23.8523;1;52.037;196.852;184.259;30.9259;79.0741;53.1481;7.86111;0.990741;78.5278;19.6306;19.8769;19.8769
163;104.315;6.65793;25.598;25.5981;1;73.0247;121.296;159.074;71.0494;43.8889;76.6049;33.3796;27.4907;17.6759;17.6602;6.33056;17.4139
164;7.44293;6.65793;66.7159;66.7159;1;33.1481;87.716;196.852;42.6543;30.3086;44.5062;78.5278;78.5278;74.6019;15.1972;19.8769;13.2269
165;7.11841;6.65793;70.4401;70.4401;1;41.5432;140.185;188.457;30.3086;34.6296;30.3086;54.9722;0.990741;78.5278;19.6306;11.7491;0.173148
166;96.8684;6.65793;38.2878;38.2878;1;110.802;127.593;83.5185;56.2346;30.3086;47.5926;53.0093;78.5278;0.990741;0.419444;0.419444;14.4583
167;98.9447;6.65793;23.7461;23.7461;1;70.9259;77.2222;56.2346;79.6914;79.0741;79.0741;1.97222;1.97222;0.990741;7.06944;2.14352;19.8769
168;106.408;6.65793;27.1304;27.1304;1;49.9383;115;140.185;46.9753;71.0494;30.3086;17.6759;2.9537;78.5278;19.6306;17.6602;15.1972
169;109.35;6.65793;95.4137;95.4137;1;33.1481;39.4444;196.852;46.9753;30.9259;46.9753;78.5278;79.5093;53.0093;6.33056;6.57685;8.79352
170;6.90697;6.65793;65.7376;65.7377;1;33.1481;52.037;198.951;30.3086;30.3086;30.3086;34.3611;55.9537;25.5278;6.33056;19.8769;19.8769
171;96.433;6.65793;29.1449;29.1449;1;70.9259;108.704;184.259;32.1605;69.8148;32.7778;31.4167;7.86111;53.9907;11.5028;6.82315;0.419444
